DSC Slice Thickness,pyarrow.lib.DoubleScalar,3.0
DSC Pixel Spacing,pyarrow.lib.LargeStringScalar,1.71875\1.71875
DSC Flip Angle,pyarrow.lib.Int64Scalar,90
DSC Echo Time,pyarrow.lib.DoubleScalar,45.0
DSC Repetition Time,pyarrow.lib.Int64Scalar,2000
DSC Imaging Frequency,pyarrow.lib.DoubleScalar,123.256697
DTI Slice Thickness,pyarrow.lib.DoubleScalar,3.0
DTI Pixel Spacing,pyarrow.lib.LargeStringScalar,2.34375\2.34375
DTI Flip Angle,pyarrow.lib.Int64Scalar,90
DTI Echo Time,pyarrow.lib.Int64Scalar,83
DTI Repetition Time,pyarrow.lib.Int64Scalar,5800
DTI Imaging Frequency,pyarrow.lib.DoubleScalar,123.256673
FLAIR Slice Thickness,pyarrow.lib.Int64Scalar,3
FLAIR Pixel Spacing,pyarrow.lib.LargeStringScalar,0.9375\0.9375
FLAIR Flip Angle,pyarrow.lib.Int64Scalar,170
FLAIR Inversion Time,pyarrow.lib.DoubleScalar,2500.0
FLAIR Echo Time,pyarrow.lib.DoubleScalar,140.0
FLAIR Repetition Time,pyarrow.lib.Int64Scalar,9420
FLAIR Imaging Frequency,pyarrow.lib.DoubleScalar,123.256693
T2 Slice Thickness,pyarrow.lib.DoubleScalar,0.900000036
T2 Pixel Spacing,pyarrow.lib.LargeStringScalar,0.89687502384186\0.89687502384186
T2 Flip Angle,pyarrow.lib.Int64Scalar,120
T2 Echo Time,pyarrow.lib.DoubleScalar,458.0
T2 Repetition Time,pyarrow.lib.DoubleScalar,3200.0
T2 Imaging Frequency,pyarrow.lib.DoubleScalar,123.256698
T1GD Slice Thickness,pyarrow.lib.DoubleScalar,1.0
T1GD Pixel Spacing,pyarrow.lib.LargeStringScalar,0.9765625\0.9765625
T1GD Flip Angle,pyarrow.lib.Int64Scalar,15
T1GD Inversion Time,pyarrow.lib.Int64Scalar,950
T1GD Echo Time,pyarrow.lib.DoubleScalar,3.1
T1GD Repetition Time,pyarrow.lib.DoubleScalar,1760.0
T1GD Imaging Frequency,pyarrow.lib.DoubleScalar,123.256799
T1 Slice Thickness,pyarrow.lib.DoubleScalar,1.0
T1 Pixel Spacing,pyarrow.lib.LargeStringScalar,0.9765625\0.9765625
T1 Flip Angle,pyarrow.lib.Int64Scalar,15
T1 Inversion Time,pyarrow.lib.Int64Scalar,950
T1 Echo Time,pyarrow.lib.DoubleScalar,3.1
T1 Repetition Time,pyarrow.lib.DoubleScalar,1760.0
T1 Imaging Frequency,pyarrow.lib.DoubleScalar,123.256776
Magnetic Field Strength,pyarrow.lib.DoubleScalar,3.0
Model,pyarrow.lib.LargeStringScalar,TrioTim
Manufacturer,pyarrow.lib.LargeStringScalar,SIEMENS
CaPTk Radiomic Features,pyarrow.lib.LargeStringScalar,available
PsP_TP score,pyarrow.lib.LargeStringScalar,not available
Associated Recurrence Scan,pyarrow.lib.LargeStringScalar,not available
Associated Baseline Scan,pyarrow.lib.LargeStringScalar,-
Extent of Resection,pyarrow.lib.LargeStringScalar,available
KPS_right,pyarrow.lib.LargeStringScalar,not available
MGMT_right,pyarrow.lib.LargeStringScalar,not available
IDH1_right,pyarrow.lib.LargeStringScalar,available
Overall Survival,pyarrow.lib.LargeStringScalar,not available
Age,pyarrow.lib.LargeStringScalar,available
Gender_right,pyarrow.lib.LargeStringScalar,available
Corrected Tumor Segmentation,pyarrow.lib.LargeStringScalar,available
Automatic Tumor Segmentation,pyarrow.lib.LargeStringScalar,available
DSC imaging,pyarrow.lib.LargeStringScalar,available
DTI imaging,pyarrow.lib.LargeStringScalar,available
Structural imaging,pyarrow.lib.LargeStringScalar,available
PsP_TP_score,pyarrow.lib.LargeStringScalar,NA
Time_since_baseline_preop,pyarrow.lib.LargeStringScalar,0
GTR_over90percent,pyarrow.lib.LargeStringScalar,Y
KPS,pyarrow.lib.LargeStringScalar,Not Available
MGMT,pyarrow.lib.LargeStringScalar,Not Available
IDH1,pyarrow.lib.LargeStringScalar,Wildtype
Survival_Censor,pyarrow.lib.LargeStringScalar,Not Available
Survival_Status,pyarrow.lib.LargeStringScalar,Deceased
Survival_from_surgery_days_UPDATED,pyarrow.lib.LargeStringScalar,960
Age_at_scan_years,pyarrow.lib.DoubleScalar,52.16
Gender,pyarrow.lib.LargeStringScalar,F
PATH_segm.nii.gz,pyarrow.lib.LargeStringScalar,None
PATH_T2_unstripped.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural_unstripped\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T2_unstripped.nii.gz
PATH_T1_unstripped.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural_unstripped\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T1_unstripped.nii.gz
PATH_T1GD_unstripped.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural_unstripped\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T1GD_unstripped.nii.gz
PATH_FLAIR_unstripped.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural_unstripped\UPENN-GBM-00001_11\UPENN-GBM-00001_11_FLAIR_unstripped.nii.gz
PATH_T2.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T2.nii.gz
PATH_T1GD.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T1GD.nii.gz
PATH_T1.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural\UPENN-GBM-00001_11\UPENN-GBM-00001_11_T1.nii.gz
PATH_FLAIR.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_structural\UPENN-GBM-00001_11\UPENN-GBM-00001_11_FLAIR.nii.gz
PATH_DTI_TR.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_DTI\images_DTI\UPENN-GBM-00001_11\UPENN-GBM-00001_11_DTI_TR.nii.gz
PATH_DTI_RD.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_DTI\images_DTI\UPENN-GBM-00001_11\UPENN-GBM-00001_11_DTI_RD.nii.gz
PATH_DTI_FA.nii.gz,pyarrow.lib.LargeStringScalar,E:\dataset\PKG - UPENN-GBM-NIfTI\UPENN-GBM\NIfTI-files\images_DTI\images_DTI\UPENN-GBM-00001_11\UPENN-GBM-00001_11_DTI_FA.nii.gz
